,coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate,fpco2
942,CNAA14,700_28_1,28,700_28,707.6,28,eoc,A,A,N,12.178,3.00E-03,T60,-0.01,700
945,CNAA5,700_31_1,30.9,700_31,666.85,31,eoc,A,A,N,10.874,3.00E-03,T60,0.097,700
970,CNAD7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,D,N,12.793,3.00E-03,T60,-0.822,2800
1096,CNTC10,280_28_3,27.9,280_28,317.27,28,pre,T,C,N,5.395,3.00E-03,T60,0.298,280
1111,CNTD2,280_28_2,27.9,280_28,314.65,28,pre,T,D,N,20.952,3.00E-03,T60,0.197,280
1137,CFAA6,700_28_1,28,700_28,707.6,28,eoc,A,A,F,12.19,3.00E-03,T90,-1.326,700
1139,CFAA8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,F,11.967,3.00E-03,T90,-1.174,2800
1141,CFAB11,700_28_1,28,700_28,707.6,28,eoc,A,B,F,10.074,3.00E-03,T90,-0.515,700
1145,CFAB5,700_31_1,30.9,700_31,666.85,31,eoc,A,B,F,11.136,3.00E-03,T90,-1.588,700
1151,CFAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,F,10.757,3.00E-03,T90,-0.163,400
1155,CFAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,F,9.302,3.00E-03,T90,-0.545,2800
1160,CFAD5,700_31_2,30.9,700_31,677.35,31,eoc,A,D,F,9.903,3.00E-03,T90,1.018,700
1169,CFAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,F,11.355,3.00E-03,T90,-1.328,2800
1172,CFAF3,400_31_3,31.1,400_31,459.07,31,cur,A,F,F,10.534,3.00E-03,T90,-0.389,400
1253,CFSA6,700_28_1,28,700_28,707.6,28,eoc,S,A,F,9.068,3.00E-03,T90,0.151,700
1259,CFSB3,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,F,9.702,3.00E-03,T90,-0.575,2800
1319,CNAA14,700_28_1,28,700_28,707.6,28,eoc,A,A,N,12.178,3.00E-03,T90,-1.045,700
1322,CNAA5,700_31_1,30.9,700_31,666.85,31,eoc,A,A,N,10.874,3.00E-03,T90,-1.363,700
1347,CNAD7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,D,N,12.793,3.00E-03,T90,-0.915,2800
1473,CNTC10,280_28_3,27.9,280_28,317.27,28,pre,T,C,N,5.395,3.00E-03,T90,0.356,280
1488,CNTD2,280_28_2,27.9,280_28,314.65,28,pre,T,D,N,20.952,3.00E-03,T90,0.077,280
1514,CFAA6,700_28_1,28,700_28,707.6,28,eoc,A,A,F,12.19,3.00E-03,total,-0.255,700
1516,CFAA8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,F,11.967,3.00E-03,total,-0.739,2800
1518,CFAB11,700_28_1,28,700_28,707.6,28,eoc,A,B,F,10.074,3.00E-03,total,-0.179,700
1522,CFAB5,700_31_1,30.9,700_31,666.85,31,eoc,A,B,F,11.136,3.00E-03,total,-0.553,700
1528,CFAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,F,10.757,3.00E-03,total,0.104,400
1532,CFAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,F,9.302,3.00E-03,total,0.079,2800
1537,CFAD5,700_31_2,30.9,700_31,677.35,31,eoc,A,D,F,9.903,3.00E-03,total,0.274,700
1546,CFAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,F,11.355,3.00E-03,total,-0.745,2800
1549,CFAF3,400_31_3,31.1,400_31,459.07,31,cur,A,F,F,10.534,3.00E-03,total,-0.287,400
1630,CFSA6,700_28_1,28,700_28,707.6,28,eoc,S,A,F,9.068,3.00E-03,total,0.414,700
1636,CFSB3,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,F,9.702,3.00E-03,total,-0.271,2800
1696,CNAA14,700_28_1,28,700_28,707.6,28,eoc,A,A,N,12.178,3.00E-03,total,-0.43,700
1699,CNAA5,700_31_1,30.9,700_31,666.85,31,eoc,A,A,N,10.874,3.00E-03,total,0.04,700
1724,CNAD7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,D,N,12.793,3.00E-03,total,-0.729,2800
1850,CNTC10,280_28_3,27.9,280_28,317.27,28,pre,T,C,N,5.395,3.00E-03,total,0.356,280
1865,CNTD2,280_28_2,27.9,280_28,314.65,28,pre,T,D,N,20.952,3.00E-03,total,0.191,280
2,CFAA14,400_28_1,28,400_28,408.25,28,cur,A,A,F,10.418,4.00E-03,Pre,0.404,400
12,CFAB2,280_28_1,28,280_28,302.69,28,pre,A,B,F,10.698,4.00E-03,Pre,1.292,280
13,CFAB3,400_31_1,31.1,400_31,434.02,31,cur,A,B,F,11.497,4.00E-03,Pre,0.261,400
17,CFAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,F,8.561,4.00E-03,Pre,2.029,280
19,CFAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,F,9.69,4.00E-03,Pre,1.857,280
27,CFAD2,280_28_2,27.9,280_28,314.65,28,pre,A,D,F,8.646,4.00E-03,Pre,0.73,280
42,CFAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,F,10.342,4.00E-03,Pre,0.499,700
