,coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate,fpco2
118,CFSA14,280_28_1,28,280_28,302.69,28,pre,S,A,F,4.661,7.00E-03,Pre,0.485,280
130,CFSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,F,12.153,7.00E-03,Pre,1.186,700
132,CFSC14,400_28_2,28.1,400_28,400.02,28,cur,S,C,F,10.229,7.00E-03,Pre,0.684,400
133,CFSC2,280_28_2,27.9,280_28,314.65,28,pre,S,C,F,8.893,7.00E-03,Pre,0.595,280
137,CFSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,F,9.433,7.00E-03,Pre,0.893,2800
151,CFSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,F,9.119,7.00E-03,Pre,1.582,700
161,CFSF6,700_28_3,28.1,700_28,689.5,28,eoc,S,F,F,10.336,7.00E-03,Pre,0.96,700
190,CNAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,N,10.905,7.00E-03,Pre,0.595,400
203,CNAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,N,8.864,7.00E-03,Pre,1.337,280
292,CNSB3,400_31_1,31.1,400_31,434.02,31,cur,S,B,N,11.577,7.00E-03,Pre,1.217,400
295,CNSB7,400_28_1,28,400_28,408.25,28,cur,S,B,N,12.183,7.00E-03,Pre,0.808,400
300,CNSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,N,9.474,7.00E-03,Pre,1.697,700
303,CNSC8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,N,8.767,7.00E-03,Pre,-0.111,2800
314,CNSE20,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,11.112,7.00E-03,Pre,NA,400
321,CNSF13,700_28_3,28.1,700_28,689.5,28,eoc,S,F,N,8.722,7.00E-03,Pre,0.793,700
324,CNSF23,280_28_3,27.9,280_28,317.27,28,pre,S,F,N,7.566,7.00E-03,Pre,NA,280
348,CNTC21,400_28_2,28.1,400_28,400.02,28,cur,T,C,N,9.533,7.00E-03,Pre,0.071,400
364,CNTE12,280_31_3,30.9,280_31,291.58,31,pre,T,E,N,15.083,7.00E-03,Pre,NA,280
369,CNTE6,700_28_3,28.1,700_28,689.5,28,eoc,T,E,N,30.319,7.00E-03,Pre,0.809,700
378,CFAA1,280_31_1,31,280_31,286.83,31,pre,A,A,F,10.547,7.00E-03,T30,0.881,280
420,CFAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,F,10.115,7.00E-03,T30,0.113,700
495,CFSA14,280_28_1,28,280_28,302.69,28,pre,S,A,F,4.661,7.00E-03,T30,1.238,280
507,CFSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,F,12.153,7.00E-03,T30,1.442,700
509,CFSC14,400_28_2,28.1,400_28,400.02,28,cur,S,C,F,10.229,7.00E-03,T30,1.08,400
510,CFSC2,280_28_2,27.9,280_28,314.65,28,pre,S,C,F,8.893,7.00E-03,T30,0.87,280
514,CFSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,F,9.433,7.00E-03,T30,0.658,2800
528,CFSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,F,9.119,7.00E-03,T30,0.995,700
538,CFSF6,700_28_3,28.1,700_28,689.5,28,eoc,S,F,F,10.336,7.00E-03,T30,1.062,700
567,CNAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,N,10.905,7.00E-03,T30,0.773,400
580,CNAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,N,8.864,7.00E-03,T30,1.54,280
669,CNSB3,400_31_1,31.1,400_31,434.02,31,cur,S,B,N,11.577,7.00E-03,T30,1.52,400
672,CNSB7,400_28_1,28,400_28,408.25,28,cur,S,B,N,12.183,7.00E-03,T30,1.75,400
677,CNSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,N,9.474,7.00E-03,T30,1.359,700
680,CNSC8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,N,8.767,7.00E-03,T30,2.359,2800
691,CNSE20,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,11.112,7.00E-03,T30,1.336,400
698,CNSF13,700_28_3,28.1,700_28,689.5,28,eoc,S,F,N,8.722,7.00E-03,T30,1.154,700
701,CNSF23,280_28_3,27.9,280_28,317.27,28,pre,S,F,N,7.566,7.00E-03,T30,0.93,280
725,CNTC21,400_28_2,28.1,400_28,400.02,28,cur,T,C,N,9.533,7.00E-03,T30,0.168,400
741,CNTE12,280_31_3,30.9,280_31,291.58,31,pre,T,E,N,15.083,7.00E-03,T30,0.338,280
746,CNTE6,700_28_3,28.1,700_28,689.5,28,eoc,T,E,N,30.319,7.00E-03,T30,0.391,700
755,CFAA1,280_31_1,31,280_31,286.83,31,pre,A,A,F,10.547,7.00E-03,T60,0.177,280
797,CFAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,F,10.115,7.00E-03,T60,0.997,700
872,CFSA14,280_28_1,28,280_28,302.69,28,pre,S,A,F,4.661,7.00E-03,T60,1.801,280
884,CFSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,F,12.153,7.00E-03,T60,1.427,700
886,CFSC14,400_28_2,28.1,400_28,400.02,28,cur,S,C,F,10.229,7.00E-03,T60,1.542,400
887,CFSC2,280_28_2,27.9,280_28,314.65,28,pre,S,C,F,8.893,7.00E-03,T60,1.454,280
891,CFSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,F,9.433,7.00E-03,T60,0.461,2800
905,CFSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,F,9.119,7.00E-03,T60,-0.027,700
915,CFSF6,700_28_3,28.1,700_28,689.5,28,eoc,S,F,F,10.336,7.00E-03,T60,2.413,700
944,CNAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,N,10.905,7.00E-03,T60,0.617,400
957,CNAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,N,8.864,7.00E-03,T60,0.997,280
1046,CNSB3,400_31_1,31.1,400_31,434.02,31,cur,S,B,N,11.577,7.00E-03,T60,1.673,400
1049,CNSB7,400_28_1,28,400_28,408.25,28,cur,S,B,N,12.183,7.00E-03,T60,1.123,400
1054,CNSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,N,9.474,7.00E-03,T60,1.391,700
1057,CNSC8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,N,8.767,7.00E-03,T60,-2.202,2800
1068,CNSE20,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,11.112,7.00E-03,T60,1.6,400
1075,CNSF13,700_28_3,28.1,700_28,689.5,28,eoc,S,F,N,8.722,7.00E-03,T60,1.068,700
1078,CNSF23,280_28_3,27.9,280_28,317.27,28,pre,S,F,N,7.566,7.00E-03,T60,1.944,280
1102,CNTC21,400_28_2,28.1,400_28,400.02,28,cur,T,C,N,9.533,7.00E-03,T60,0.046,400
1118,CNTE12,280_31_3,30.9,280_31,291.58,31,pre,T,E,N,15.083,7.00E-03,T60,0.355,280
1123,CNTE6,700_28_3,28.1,700_28,689.5,28,eoc,T,E,N,30.319,7.00E-03,T60,0.085,700
1132,CFAA1,280_31_1,31,280_31,286.83,31,pre,A,A,F,10.547,7.00E-03,T90,0.012,280
1174,CFAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,F,10.115,7.00E-03,T90,-0.435,700
1249,CFSA14,280_28_1,28,280_28,302.69,28,pre,S,A,F,4.661,7.00E-03,T90,-0.131,280
1261,CFSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,F,12.153,7.00E-03,T90,1.026,700
1263,CFSC14,400_28_2,28.1,400_28,400.02,28,cur,S,C,F,10.229,7.00E-03,T90,1.631,400
1264,CFSC2,280_28_2,27.9,280_28,314.65,28,pre,S,C,F,8.893,7.00E-03,T90,0.93,280
1268,CFSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,F,9.433,7.00E-03,T90,0.264,2800
1282,CFSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,F,9.119,7.00E-03,T90,-1.231,700
1292,CFSF6,700_28_3,28.1,700_28,689.5,28,eoc,S,F,F,10.336,7.00E-03,T90,1.057,700
1321,CNAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,N,10.905,7.00E-03,T90,-1.427,400
1334,CNAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,N,8.864,7.00E-03,T90,0.33,280
1423,CNSB3,400_31_1,31.1,400_31,434.02,31,cur,S,B,N,11.577,7.00E-03,T90,-0.051,400
1426,CNSB7,400_28_1,28,400_28,408.25,28,cur,S,B,N,12.183,7.00E-03,T90,0.897,400
1431,CNSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,N,9.474,7.00E-03,T90,0.789,700
1434,CNSC8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,N,8.767,7.00E-03,T90,-0.44,2800
1445,CNSE20,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,11.112,7.00E-03,T90,1.566,400
1452,CNSF13,700_28_3,28.1,700_28,689.5,28,eoc,S,F,N,8.722,7.00E-03,T90,0.619,700
1455,CNSF23,280_28_3,27.9,280_28,317.27,28,pre,S,F,N,7.566,7.00E-03,T90,1.397,280
1479,CNTC21,400_28_2,28.1,400_28,400.02,28,cur,T,C,N,9.533,7.00E-03,T90,0.207,400
1495,CNTE12,280_31_3,30.9,280_31,291.58,31,pre,T,E,N,15.083,7.00E-03,T90,0.085,280
1500,CNTE6,700_28_3,28.1,700_28,689.5,28,eoc,T,E,N,30.319,7.00E-03,T90,-0.034,700
1509,CFAA1,280_31_1,31,280_31,286.83,31,pre,A,A,F,10.547,7.00E-03,total,0.333,280
1551,CFAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,F,10.115,7.00E-03,total,0.223,700
1626,CFSA14,280_28_1,28,280_28,302.69,28,pre,S,A,F,4.661,7.00E-03,total,0.957,280
1638,CFSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,F,12.153,7.00E-03,total,1.289,700
1640,CFSC14,400_28_2,28.1,400_28,400.02,28,cur,S,C,F,10.229,7.00E-03,total,1.434,400
1641,CFSC2,280_28_2,27.9,280_28,314.65,28,pre,S,C,F,8.893,7.00E-03,total,1.095,280
1645,CFSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,F,9.433,7.00E-03,total,0.448,2800
1659,CFSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,F,9.119,7.00E-03,total,-0.148,700
1669,CFSF6,700_28_3,28.1,700_28,689.5,28,eoc,S,F,F,10.336,7.00E-03,total,1.526,700
1698,CNAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,N,10.905,7.00E-03,total,-0.063,400
1711,CNAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,N,8.864,7.00E-03,total,0.936,280
1800,CNSB3,400_31_1,31.1,400_31,434.02,31,cur,S,B,N,11.577,7.00E-03,total,1.014,400
1803,CNSB7,400_28_1,28,400_28,408.25,28,cur,S,B,N,12.183,7.00E-03,total,1.232,400
1808,CNSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,N,9.474,7.00E-03,total,1.172,700
1811,CNSC8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,N,8.767,7.00E-03,total,-0.236,2800
1822,CNSE20,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,11.112,7.00E-03,total,1.508,400
1829,CNSF13,700_28_3,28.1,700_28,689.5,28,eoc,S,F,N,8.722,7.00E-03,total,0.934,700
1832,CNSF23,280_28_3,27.9,280_28,317.27,28,pre,S,F,N,7.566,7.00E-03,total,1.445,280
1856,CNTC21,400_28_2,28.1,400_28,400.02,28,cur,T,C,N,9.533,7.00E-03,total,0.141,400
1872,CNTE12,280_31_3,30.9,280_31,291.58,31,pre,T,E,N,15.083,7.00E-03,total,0.257,280
1877,CNTE6,700_28_3,28.1,700_28,689.5,28,eoc,T,E,N,30.319,7.00E-03,total,0.134,700
127,CFSB2,280_28_1,28,280_28,302.69,28,pre,S,B,F,10.805,8.00E-03,Pre,1.017,280
129,CFSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,F,11.185,8.00E-03,Pre,1.855,700
136,CFSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,F,8.956,8.00E-03,Pre,0.578,700
149,CFSE11,400_28_3,28,400_28,405.52,28,cur,S,E,F,1.88,8.00E-03,Pre,0.689,400
150,CFSE3,400_31_3,31.1,400_31,459.07,31,cur,S,E,F,9.104,8.00E-03,Pre,1.38,400
158,CFSF2,280_28_3,27.9,280_28,317.27,28,pre,S,F,F,10.837,8.00E-03,Pre,1.549,280
162,CFSF7,2800_31_3,31,2800_31,3295.97,31,ext,S,F,F,11.597,8.00E-03,Pre,0.93,2800
198,CNAB13,280_31_1,31,280_31,286.83,31,pre,A,B,N,12.161,8.00E-03,Pre,1.051,280
200,CNAB19,400_28_1,28,400_28,408.25,28,cur,A,B,N,6.617,8.00E-03,Pre,0.398,400
226,CNAF1,280_31_3,30.9,280_31,291.58,31,pre,A,F,N,13.161,8.00E-03,Pre,1.874,280
294,CNSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,N,10.674,8.00E-03,Pre,1.404,700
304,CNSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,N,9.161,8.00E-03,Pre,1.832,280
306,CNSD3,400_31_2,31.1,400_31,447.02,31,cur,S,D,N,9.112,8.00E-03,Pre,0.73,400
317,CNSE23,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,N,10.929,8.00E-03,Pre,NA,2800
322,CNSF15,2800_31_3,31,2800_31,3295.97,31,ext,S,F,N,10.255,8.00E-03,Pre,0.936,2800
323,CNSF20,400_28_3,28,400_28,405.52,28,cur,S,F,N,6.942,8.00E-03,Pre,0.199,400
326,CNSF25,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,N,9.462,8.00E-03,Pre,0.892,2800
370,CNTE8,2800_28_3,28.1,2800_28,3219.84,28,ext,T,E,N,22.085,8.00E-03,Pre,0.668,2800
504,CFSB2,280_28_1,28,280_28,302.69,28,pre,S,B,F,10.805,8.00E-03,T30,1.081,280
506,CFSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,F,11.185,8.00E-03,T30,2.045,700
513,CFSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,F,8.956,8.00E-03,T30,0.888,700
526,CFSE11,400_28_3,28,400_28,405.52,28,cur,S,E,F,1.88,8.00E-03,T30,1.198,400
527,CFSE3,400_31_3,31.1,400_31,459.07,31,cur,S,E,F,9.104,8.00E-03,T30,-0.085,400
535,CFSF2,280_28_3,27.9,280_28,317.27,28,pre,S,F,F,10.837,8.00E-03,T30,1.805,280
539,CFSF7,2800_31_3,31,2800_31,3295.97,31,ext,S,F,F,11.597,8.00E-03,T30,1.638,2800
575,CNAB13,280_31_1,31,280_31,286.83,31,pre,A,B,N,12.161,8.00E-03,T30,0.241,280
577,CNAB19,400_28_1,28,400_28,408.25,28,cur,A,B,N,6.617,8.00E-03,T30,0.216,400
603,CNAF1,280_31_3,30.9,280_31,291.58,31,pre,A,F,N,13.161,8.00E-03,T30,2.514,280
671,CNSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,N,10.674,8.00E-03,T30,1.259,700
681,CNSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,N,9.161,8.00E-03,T30,1.17,280
683,CNSD3,400_31_2,31.1,400_31,447.02,31,cur,S,D,N,9.112,8.00E-03,T30,-0.448,400
694,CNSE23,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,N,10.929,8.00E-03,T30,NA,2800
699,CNSF15,2800_31_3,31,2800_31,3295.97,31,ext,S,F,N,10.255,8.00E-03,T30,0.306,2800
700,CNSF20,400_28_3,28,400_28,405.52,28,cur,S,F,N,6.942,8.00E-03,T30,1.328,400
703,CNSF25,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,N,9.462,8.00E-03,T30,0.834,2800
747,CNTE8,2800_28_3,28.1,2800_28,3219.84,28,ext,T,E,N,22.085,8.00E-03,T30,0.182,2800
881,CFSB2,280_28_1,28,280_28,302.69,28,pre,S,B,F,10.805,8.00E-03,T60,1.186,280
883,CFSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,F,11.185,8.00E-03,T60,1.129,700
890,CFSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,F,8.956,8.00E-03,T60,1.027,700
903,CFSE11,400_28_3,28,400_28,405.52,28,cur,S,E,F,1.88,8.00E-03,T60,0,400
904,CFSE3,400_31_3,31.1,400_31,459.07,31,cur,S,E,F,9.104,8.00E-03,T60,0.868,400
912,CFSF2,280_28_3,27.9,280_28,317.27,28,pre,S,F,F,10.837,8.00E-03,T60,2.053,280
916,CFSF7,2800_31_3,31,2800_31,3295.97,31,ext,S,F,F,11.597,8.00E-03,T60,0.787,2800
952,CNAB13,280_31_1,31,280_31,286.83,31,pre,A,B,N,12.161,8.00E-03,T60,-0.067,280
954,CNAB19,400_28_1,28,400_28,408.25,28,cur,A,B,N,6.617,8.00E-03,T60,-0.156,400
980,CNAF1,280_31_3,30.9,280_31,291.58,31,pre,A,F,N,13.161,8.00E-03,T60,1.05,280
1048,CNSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,N,10.674,8.00E-03,T60,1.562,700
1058,CNSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,N,9.161,8.00E-03,T60,0.85,280
1060,CNSD3,400_31_2,31.1,400_31,447.02,31,cur,S,D,N,9.112,8.00E-03,T60,1.473,400
1071,CNSE23,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,N,10.929,8.00E-03,T60,0.589,2800
1076,CNSF15,2800_31_3,31,2800_31,3295.97,31,ext,S,F,N,10.255,8.00E-03,T60,1.596,2800
1077,CNSF20,400_28_3,28,400_28,405.52,28,cur,S,F,N,6.942,8.00E-03,T60,2.545,400
1080,CNSF25,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,N,9.462,8.00E-03,T60,0.738,2800
1124,CNTE8,2800_28_3,28.1,2800_28,3219.84,28,ext,T,E,N,22.085,8.00E-03,T60,-0.242,2800
1258,CFSB2,280_28_1,28,280_28,302.69,28,pre,S,B,F,10.805,8.00E-03,T90,1.095,280
1260,CFSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,F,11.185,8.00E-03,T90,0.992,700
1267,CFSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,F,8.956,8.00E-03,T90,0.981,700
1280,CFSE11,400_28_3,28,400_28,405.52,28,cur,S,E,F,1.88,8.00E-03,T90,2.148,400
1281,CFSE3,400_31_3,31.1,400_31,459.07,31,cur,S,E,F,9.104,8.00E-03,T90,-0.639,400
1289,CFSF2,280_28_3,27.9,280_28,317.27,28,pre,S,F,F,10.837,8.00E-03,T90,2.109,280
1293,CFSF7,2800_31_3,31,2800_31,3295.97,31,ext,S,F,F,11.597,8.00E-03,T90,0.415,2800
1329,CNAB13,280_31_1,31,280_31,286.83,31,pre,A,B,N,12.161,8.00E-03,T90,-0.015,280
1331,CNAB19,400_28_1,28,400_28,408.25,28,cur,A,B,N,6.617,8.00E-03,T90,-0.273,400
1357,CNAF1,280_31_3,30.9,280_31,291.58,31,pre,A,F,N,13.161,8.00E-03,T90,0.412,280
1425,CNSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,N,10.674,8.00E-03,T90,0.106,700
1435,CNSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,N,9.161,8.00E-03,T90,0.763,280
1437,CNSD3,400_31_2,31.1,400_31,447.02,31,cur,S,D,N,9.112,8.00E-03,T90,0.3,400
1448,CNSE23,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,N,10.929,8.00E-03,T90,-0.179,2800
1453,CNSF15,2800_31_3,31,2800_31,3295.97,31,ext,S,F,N,10.255,8.00E-03,T90,1.106,2800
1454,CNSF20,400_28_3,28,400_28,405.52,28,cur,S,F,N,6.942,8.00E-03,T90,2.053,400
1457,CNSF25,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,N,9.462,8.00E-03,T90,0.019,2800
1501,CNTE8,2800_28_3,28.1,2800_28,3219.84,28,ext,T,E,N,22.085,8.00E-03,T90,-0.451,2800
1635,CFSB2,280_28_1,28,280_28,302.69,28,pre,S,B,F,10.805,8.00E-03,total,1.122,280
1637,CFSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,F,11.185,8.00E-03,total,1.359,700
1644,CFSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,F,8.956,8.00E-03,total,0.969,700
1657,CFSE11,400_28_3,28,400_28,405.52,28,cur,S,E,F,1.88,8.00E-03,total,1.136,400
1658,CFSE3,400_31_3,31.1,400_31,459.07,31,cur,S,E,F,9.104,8.00E-03,total,0.046,400
1666,CFSF2,280_28_3,27.9,280_28,317.27,28,pre,S,F,F,10.837,8.00E-03,total,1.999,280
1670,CFSF7,2800_31_3,31,2800_31,3295.97,31,ext,S,F,F,11.597,8.00E-03,total,0.902,2800
1706,CNAB13,280_31_1,31,280_31,286.83,31,pre,A,B,N,12.161,8.00E-03,total,0.045,280
1708,CNAB19,400_28_1,28,400_28,408.25,28,cur,A,B,N,6.617,8.00E-03,total,-0.085,400
1734,CNAF1,280_31_3,30.9,280_31,291.58,31,pre,A,F,N,13.161,8.00E-03,total,1.286,280
1802,CNSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,N,10.674,8.00E-03,total,0.953,700
1812,CNSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,N,9.161,8.00E-03,total,0.919,280
1814,CNSD3,400_31_2,31.1,400_31,447.02,31,cur,S,D,N,9.112,8.00E-03,total,0.48,400
1825,CNSE23,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,N,10.929,8.00E-03,total,0.034,2800
1830,CNSF15,2800_31_3,31,2800_31,3295.97,31,ext,S,F,N,10.255,8.00E-03,total,1.043,2800
1831,CNSF20,400_28_3,28,400_28,405.52,28,cur,S,F,N,6.942,8.00E-03,total,1.999,400
1834,CNSF25,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,N,9.462,8.00E-03,total,0.508,2800
1878,CNTE8,2800_28_3,28.1,2800_28,3219.84,28,ext,T,E,N,22.085,8.00E-03,total,-0.193,2800
139,CFSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,F,10.682,9.00E-03,Pre,2.189,280
160,CFSF5,700_31_3,30.9,700_31,675.24,31,eoc,S,F,F,9.508,9.00E-03,Pre,1.14,700
195,CNAB10,280_28_1,28,280_28,302.69,28,pre,A,B,N,9.038,9.00E-03,Pre,1.062,280
289,CNSB16,400_31_3,31.1,400_31,459.07,31,cur,S,B,N,11.49,9.00E-03,Pre,NA,400
319,CNSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,N,12.69,9.00E-03,Pre,1.829,2800
516,CFSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,F,10.682,9.00E-03,T30,2.369,280
537,CFSF5,700_31_3,30.9,700_31,675.24,31,eoc,S,F,F,9.508,9.00E-03,T30,0.77,700
572,CNAB10,280_28_1,28,280_28,302.69,28,pre,A,B,N,9.038,9.00E-03,T30,-0.063,280
666,CNSB16,400_31_3,31.1,400_31,459.07,31,cur,S,B,N,11.49,9.00E-03,T30,0.349,400
696,CNSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,N,12.69,9.00E-03,T30,1.094,2800
893,CFSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,F,10.682,9.00E-03,T60,2.163,280
914,CFSF5,700_31_3,30.9,700_31,675.24,31,eoc,S,F,F,9.508,9.00E-03,T60,1.18,700
949,CNAB10,280_28_1,28,280_28,302.69,28,pre,A,B,N,9.038,9.00E-03,T60,-0.179,280
1043,CNSB16,400_31_3,31.1,400_31,459.07,31,cur,S,B,N,11.49,9.00E-03,T60,2.118,400
1073,CNSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,N,12.69,9.00E-03,T60,0.551,2800
1270,CFSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,F,10.682,9.00E-03,T90,2.06,280
1291,CFSF5,700_31_3,30.9,700_31,675.24,31,eoc,S,F,F,9.508,9.00E-03,T90,0.98,700
1326,CNAB10,280_28_1,28,280_28,302.69,28,pre,A,B,N,9.038,9.00E-03,T90,-0.083,280
1420,CNSB16,400_31_3,31.1,400_31,459.07,31,cur,S,B,N,11.49,9.00E-03,T90,1.142,400
1450,CNSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,N,12.69,9.00E-03,T90,-0.094,2800
1647,CFSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,F,10.682,9.00E-03,total,2.192,280
1668,CFSF5,700_31_3,30.9,700_31,675.24,31,eoc,S,F,F,9.508,9.00E-03,total,0.986,700
1703,CNAB10,280_28_1,28,280_28,302.69,28,pre,A,B,N,9.038,9.00E-03,total,-0.11,280
1797,CNSB16,400_31_3,31.1,400_31,459.07,31,cur,S,B,N,11.49,9.00E-03,total,1.24,400
1827,CNSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,N,12.69,9.00E-03,total,0.478,2800
125,CFSB10,400_31_1,31.1,400_31,434.02,31,cur,S,B,F,11.296,0.01,Pre,1.846,400
126,CFSB13,400_28_1,28,400_28,408.25,28,cur,S,B,F,12.975,0.01,Pre,0.446,400
145,CFSD7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,D,F,11.137,0.01,Pre,2.033,2800
156,CFSF11,400_28_3,28,400_28,405.52,28,cur,S,F,F,10.117,0.01,Pre,0.393,400
288,CNSB1,280_31_1,31,280_31,286.83,31,pre,S,B,N,11.196,0.01,Pre,2.674,280
293,CNSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,N,11.107,0.01,Pre,1.956,700
296,CNSB8,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,N,9.859,0.01,Pre,0.76,2800
301,CNSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,N,10.399,0.01,Pre,1.035,700
307,CNSD5,700_31_2,30.9,700_31,677.35,31,eoc,S,D,N,10.957,0.01,Pre,1.533,700
309,CNSD7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,D,N,8.368,0.01,Pre,0.54,2800
363,CNTE10,400_28_3,28,400_28,405.52,28,cur,T,E,N,30.207,0.01,Pre,0.222,400
502,CFSB10,400_31_1,31.1,400_31,434.02,31,cur,S,B,F,11.296,0.01,T30,1.271,400
503,CFSB13,400_28_1,28,400_28,408.25,28,cur,S,B,F,12.975,0.01,T30,0.678,400
522,CFSD7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,D,F,11.137,0.01,T30,1.627,2800
533,CFSF11,400_28_3,28,400_28,405.52,28,cur,S,F,F,10.117,0.01,T30,1.44,400
665,CNSB1,280_31_1,31,280_31,286.83,31,pre,S,B,N,11.196,0.01,T30,1.515,280
670,CNSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,N,11.107,0.01,T30,1.388,700
673,CNSB8,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,N,9.859,0.01,T30,0.904,2800
678,CNSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,N,10.399,0.01,T30,1.177,700
684,CNSD5,700_31_2,30.9,700_31,677.35,31,eoc,S,D,N,10.957,0.01,T30,1.92,700
686,CNSD7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,D,N,8.368,0.01,T30,0.175,2800
740,CNTE10,400_28_3,28,400_28,405.52,28,cur,T,E,N,30.207,0.01,T30,0.586,400
879,CFSB10,400_31_1,31.1,400_31,434.02,31,cur,S,B,F,11.296,0.01,T60,1.145,400
