coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate2,fpco2,rate,gross
CFSB7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,F,11.199,2.00E-03,total,0,2800,-0.109,0.461670614
CFSC14,400_28_2,28.1,400_28,400.02,28,cur,S,C,F,10.229,7.00E-03,total,0,400,1.434,1.278124689
CFSC2,280_28_2,27.9,280_28,314.65,28,pre,S,C,F,8.893,7.00E-03,total,0,280,1.095,1.169059935
CFSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,F,9.915,6.00E-03,total,0,700,1.41,1.184719777
CFSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,F,8.956,8.00E-03,total,0,700,0.969,1.052194222
CFSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,F,9.433,7.00E-03,total,0,2800,0.448,1.079049539
CFSC9,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,F,9.262,6.00E-03,total,0,2800,-0.625,0.507142403
CFSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,F,10.682,9.00E-03,total,0,280,2.192,1.647104893
CFSD11,280_28_2,27.9,280_28,314.65,28,pre,S,D,F,10.905,6.00E-03,total,0,280,0.37,0.685625866
CFSD3,400_31_2,31.1,400_31,447.02,31,cur,S,D,F,10.206,NA,total,0,400,2.224,1.673399878
CFSD4,280_28_3,27.9,280_28,317.27,28,pre,S,D,F,11.381,0.011,total,0,280,2.135,1.808645405
CFSD5,700_31_2,30.9,700_31,677.35,31,eoc,S,D,F,12.59,0.011,total,0,700,1.519,1.341902217
CFSD6,700_28_2,28.1,700_28,707.17,28,eoc,S,D,F,9.677,0.015,total,0,700,2.086,1.553708884
CFSD7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,D,F,11.137,0.01,total,0,2800,1.413,1.411443541
CFSD8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,D,F,8.568,0.012,total,0,2800,0.822,1.360167826
CFSD9,400_28_2,28.1,400_28,400.02,28,cur,S,D,F,11.455,0.015,total,0,400,2.397,1.764310544
