coral,treat,tank,temp,pco2,pCO2,ftemp,species,reefzone,colony,tod,dead,dead.NA,tod.pre
CNAD9,400_28,11,28.1,400.02,cur,28,A,N,D,91,0,0,111
CNAE1,280_31,3,30.9,291.58,pre,31,A,N,E,28,1,1,48
CNAE11,400_28,12,28,405.52,cur,28,A,N,E,91,0,0,111
CNAE2,280_28,6,27.9,317.27,pre,28,A,N,E,91,0,0,111
CNAE5,700_31,15,30.9,675.24,eoc,31,A,N,E,92,0,0,112
CNAE6,700_28,18,28.1,689.5,eoc,28,A,N,E,92,0,0,112
CNAE7,2800_31,21,31,3295.97,ext,31,A,N,E,92,0,0,112
CNAE8,2800_28,24,28.1,3219.84,ext,28,A,N,E,92,0,0,112
CNAF1,280_31,3,30.9,291.58,pre,31,A,N,F,90,0,0,110
CNAF10,400_28,12,28,405.52,cur,28,A,N,F,91,0,0,111
CNAF11,2800_28,24,28.1,3219.84,ext,28,A,N,F,92,0,0,112
CNAF2,280_28,6,27.9,317.27,pre,28,A,N,F,1,1,NA,21
CNAF5,700_31,15,30.9,675.24,eoc,31,A,N,F,92,0,0,112
CNAF6,700_28,18,28.1,689.5,eoc,28,A,N,F,92,0,0,112
CNAF7,2800_31,21,31,3295.97,ext,31,A,N,F,92,0,0,112
CNPA1,400_28,10,28,408.25,cur,28,P,N,A,91,0,0,111
CNPA13,700_28,16,28,707.6,eoc,28,P,N,A,92,0,0,112
CNPA2,280_28,4,28,302.69,pre,28,P,N,A,90,0,0,110
CNPA3,400_31,7,31.1,434.02,cur,31,P,N,A,1,1,NA,21
CNPA5,700_31,13,30.9,666.85,eoc,31,P,N,A,60,1,1,80
CNPA6,2800_28,22,28.1,3369.78,ext,28,P,N,A,92,0,0,112
CNPA7,2800_31,19,30.9,3258.29,ext,31,P,N,A,29,1,1,49
CNPB1,400_28,10,28,408.25,cur,28,P,N,B,91,0,0,111
CNPB14,280_31,1,31,286.83,pre,31,P,N,B,59,1,1,79
CNPB2,280_28,4,28,302.69,pre,28,P,N,B,90,0,0,110
CNPB20,280_31,1,31,286.83,pre,31,P,N,B,90,0,0,110
CNPB3,400_31,7,31.1,434.02,cur,31,P,N,B,91,0,0,111
CNPB5,700_31,13,30.9,666.85,eoc,31,P,N,B,91,0,0,111
CNPB6,700_28,16,28,707.6,eoc,28,P,N,B,92,0,0,112
CNPB7,2800_31,19,30.9,3258.29,ext,31,P,N,B,92,0,0,112
CNPB8,2800_28,22,28.1,3369.78,ext,28,P,N,B,92,0,0,112
CNPC1,280_31,2,30.9,286.61,pre,31,P,N,C,28,1,1,48
CNPC12,400_28,11,28.1,400.02,cur,28,P,N,C,2,1,NA,22
CNPC14,2800_31,20,30.9,3301.59,ext,31,P,N,C,3,1,NA,23
CNPC2,280_28,5,27.9,314.65,pre,28,P,N,C,59,1,1,79
CNPC3,400_31,8,31.1,447.02,cur,31,P,N,C,59,1,1,79
CNPC5,700_31,14,30.9,677.35,eoc,31,P,N,C,60,1,1,80
CNPC6,700_28,17,28.1,707.17,eoc,28,P,N,C,92,0,0,112
CNPC7,2800_31,20,30.9,3301.59,ext,31,P,N,C,60,1,1,80
CNPC8,2800_28,23,28.1,3336.47,ext,28,P,N,C,92,0,0,112
CNPD1,280_31,2,30.9,286.61,pre,31,P,N,D,90,0,0,110
CNPD11,400_28,11,28.1,400.02,cur,28,P,N,D,29,1,1,49
CNPD2,280_28,5,27.9,314.65,pre,28,P,N,D,90,0,0,110
CNPD3,400_31,8,31.1,447.02,cur,31,P,N,D,91,0,0,111
CNPD5,700_31,14,30.9,677.35,eoc,31,P,N,D,91,0,0,111
CNPD6,700_28,17,28.1,707.17,eoc,28,P,N,D,92,0,0,112
CNPD7,2800_31,20,30.9,3301.59,ext,31,P,N,D,92,0,0,112
CNPD8,2800_28,23,28.1,3336.47,ext,28,P,N,D,92,0,0,112
CNPE1,280_31,3,30.9,291.58,pre,31,P,N,E,90,0,0,110
CNPE12,2800_31,21,31,3295.97,ext,31,P,N,E,92,0,0,112
CNPE13,400_28,12,28,405.52,cur,28,P,N,E,2,1,NA,22
CNPE2,280_28,6,27.9,317.27,pre,28,P,N,E,91,0,0,111
CNPE3,400_31,9,31.1,459.07,cur,31,P,N,E,91,0,0,111
CNPE5,700_31,15,30.9,675.24,eoc,31,P,N,E,92,0,0,112
CNPE6,700_28,18,28.1,689.5,eoc,28,P,N,E,92,0,0,112
CNPE8,2800_28,24,28.1,3219.84,ext,28,P,N,E,92,0,0,112
CNPF1,280_31,3,30.9,291.58,pre,31,P,N,F,90,0,0,110
CNPF17,400_28,12,28,405.52,cur,28,P,N,F,29,1,1,49
CNPF2,280_28,6,27.9,317.27,pre,28,P,N,F,91,0,0,111
CNPF3,400_31,9,31.1,459.07,cur,31,P,N,F,28,1,1,48
CNPF5,700_31,15,30.9,675.24,eoc,31,P,N,F,60,1,1,80
CNPF6,700_28,18,28.1,689.5,eoc,28,P,N,F,92,0,0,112
CNPF7,2800_31,21,31,3295.97,ext,31,P,N,F,60,1,1,80
CNPF8,2800_28,24,28.1,3219.84,ext,28,P,N,F,92,0,0,112
CNSA1,280_31,1,31,286.83,pre,31,S,N,A,90,0,0,110
CNSA17,400_28,10,28,408.25,cur,28,S,N,A,91,0,0,111
CNSA18,2800_31,19,30.9,3258.29,ext,31,S,N,A,92,0,0,112
CNSA3,400_31,7,31.1,434.02,cur,31,S,N,A,1,1,NA,21
CNSA5,700_31,13,30.9,666.85,eoc,31,S,N,A,91,0,0,111
CNSA6,700_28,16,28,707.6,eoc,28,S,N,A,92,0,0,112
CNSA7,2800_28,22,28.1,3369.78,ext,28,S,N,A,92,0,0,112
CNSB1,280_31,1,31,286.83,pre,31,S,N,B,90,0,0,110
CNSB16,400_31,9,31.1,459.07,cur,31,S,N,B,91,0,0,111
CNSB2,280_28,4,28,302.69,pre,28,S,N,B,90,0,0,110
CNSB20,2800_31,19,30.9,3258.29,ext,31,S,N,B,92,0,0,112
CNSB3,400_31,7,31.1,434.02,cur,31,S,N,B,91,0,0,111
CNSB5,700_31,13,30.9,666.85,eoc,31,S,N,B,91,0,0,111
CNSB6,700_28,16,28,707.6,eoc,28,S,N,B,92,0,0,112
CNSB7,400_28,10,28,408.25,cur,28,S,N,B,91,0,0,111
CNSB8,2800_28,22,28.1,3369.78,ext,28,S,N,B,92,0,0,112
CNSC11,280_28,5,27.9,314.65,pre,28,S,N,C,1,1,NA,21
CNSC13,400_28,11,28.1,400.02,cur,28,S,N,C,91,0,0,111
CNSC3,400_31,8,31.1,447.02,cur,31,S,N,C,91,0,0,111
CNSC5,700_31,14,30.9,677.35,eoc,31,S,N,C,91,0,0,111
CNSC6,700_28,17,28.1,707.17,eoc,28,S,N,C,92,0,0,112
CNSC7,2800_31,20,30.9,3301.59,ext,31,S,N,C,92,0,0,112
CNSC8,2800_28,23,28.1,3336.47,ext,28,S,N,C,92,0,0,112
CNSD1,280_31,2,30.9,286.61,pre,31,S,N,D,90,0,0,110
CNSD2,280_28,5,27.9,314.65,pre,28,S,N,D,90,0,0,110
CNSD3,400_31,8,31.1,447.02,cur,31,S,N,D,91,0,0,111
CNSD5,700_31,14,30.9,677.35,eoc,31,S,N,D,91,0,0,111
CNSD6,700_28,17,28.1,707.17,eoc,28,S,N,D,92,0,0,112
CNSD7,2800_31,20,30.9,3301.59,ext,31,S,N,D,92,0,0,112
CNSD8,2800_28,23,28.1,3336.47,ext,28,S,N,D,92,0,0,112
CNSD9,400_28,11,28.1,400.02,cur,28,S,N,D,91,0,0,111
CNSE1,280_31,3,30.9,291.58,pre,31,S,N,E,0,1,NA,20
CNSE11,280_28,6,27.9,317.27,pre,28,S,N,E,91,0,0,111
CNSE20,400_31,9,31.1,459.07,cur,31,S,N,E,91,0,0,111
CNSE21,400_31,9,31.1,459.07,cur,31,S,N,E,91,0,0,111
CNSE22,400_28,12,28,405.52,cur,28,S,N,E,91,0,0,111
CNSE23,2800_28,24,28.1,3219.84,ext,28,S,N,E,92,0,0,112
CNSE5,700_31,15,30.9,675.24,eoc,31,S,N,E,92,0,0,112
CNSE7,2800_31,21,31,3295.97,ext,31,S,N,E,92,0,0,112
CNSF10,700_31,15,30.9,675.24,eoc,31,S,N,F,29,1,1,49
